group_lj1dr54:refugee_community,group_lj1dr54:age,group_lj1dr54:_4_Choose_the_name_of_the_host,group_lj1dr54:Specify_the_name_of_the_host_community,group_lj1dr54:_1_5_Choose_the_ethnic_group_o
refugee,18,,,kumana
refugee,38,,,tigrinya
refugee,28,,,kumana
refugee,18,,,kumana
refugee,19,,,kumana
refugee,16,,,tigrinya
refugee,24,,,kumana
refugee,33,,,tigrinya
refugee,35,,,other
refugee,22,,,tigrinya
refugee,21,,,kumana
refugee,19,,,kumana
refugee,76,,,kumana
refugee,42,,,kumana
refugee,31,,,kumana
refugee,16,,,kumana
refugee,18,,,kumana
refugee,33,,,kumana
refugee,48,,,tigrinya
refugee,30,,,other
refugee,25,,,kumana
refugee,24,,,kumana
refugee,17,,,kumana
refugee,23,,,tigrinya
refugee,20,,,kumana
refugee,20,,,kumana
refugee,25,,,kumana
refugee,36,,,kumana
refugee,21,,,kumana
refugee,30,,,kumana
refugee,51,,,kumana
refugee,37,,,kumana
refugee,27,,,kumana
refugee,23,,,kumana
refugee,32,,,kumana
refugee,19,,,kumana
refugee,33,,,kumana
refugee,23,,,tigrinya
refugee,25,,,kumana
refugee,30,,,kumana
refugee,44,,,kumana
refugee,23,,,kumana
refugee,14,,,kumana
refugee,32,,,kumana
refugee,20,,,kumana
refugee,25,,,tigrinya
refugee,20,,,kumana
refugee,26,,,kumana
refugee,20,,,kumana
refugee,22,,,kumana
refugee,35,,,tigrinya
refugee,27,,,tigrinya
refugee,33,,,other
refugee,15,,,kumana
refugee,12,,,tigrinya
refugee,31,,,kumana
refugee,20,,,kumana
refugee,25,,,kumana
refugee,31,,,kumana
refugee,34,,,kumana
refugee,23,,,kumana
refugee,46,,,kumana
refugee,22,,,kumana
refugee,30,,,tigrinya
refugee,24,,,tigrinya
refugee,39,,,tigrinya
refugee,37,,,tigrinya
refugee,23,,,tigrinya
refugee,26,,,tigrinya
refugee,21,,,tigrinya
refugee,20,,,tigrinya
refugee,29,,,tigrinya
refugee,27,,,kumana
refugee,33,,,tigrinya
refugee,30,,,tigrinya
refugee,27,,,tigrinya
refugee,29,,,tigrinya
refugee,21,,,tigrinya
refugee,35,,,tigrinya
refugee,29,,,tigrinya
refugee,28,,,kumana
refugee,19,,,kumana
refugee,16,,,kumana
refugee,32,,,kumana
refugee,26,,,kumana
refugee,27,,,tigrinya
refugee,45,,,tigrinya
refugee,29,,,kumana
refugee,30,,,tigrinya
refugee,38,,,tigrinya
refugee,30,,,tigrinya
refugee,18,,,kumana
refugee,39,,,kumana
refugee,17,,,kumana
refugee,17,,,kumana
refugee,23,,,other
refugee,32,,,kumana
refugee,32,,,tigrinya
refugee,38,,,kumana
refugee,21,,,tigrinya
refugee,24,,,kumana
refugee,48,,,kumana
refugee,30,,,kumana
refugee,19,,,kumana
refugee,25,,,other
refugee,27,,,tigrinya
refugee,29,,,tigrinya
refugee,25,,,tigrinya
refugee,22,,,tigrinya
refugee,39,,,tigrinya
refugee,25,,,kumana
refugee,20,,,tigrinya
refugee,26,,,tigrinya
refugee,26,,,tigrinya
refugee,37,,,kumana
refugee,16,,,kumana
refugee,28,,,tigrinya
refugee,32,,,kumana
refugee,27,,,kumana
refugee,19,,,kumana
refugee,20,,,kumana
refugee,21,,,kumana
refugee,35,,,tigrinya
refugee,36,,,kumana
refugee,50,,,kumana
refugee,42,,,tigrinya
refugee,27,,,tigrinya
refugee,20,,,kumana
refugee,19,,,kumana
refugee,27,,,kumana
refugee,50,,,kumana
refugee,55,,,kumana
refugee,45,,,kumana
refugee,27,,,tigrinya
refugee,30,,,tigrinya
refugee,22,,,tigrinya
refugee,30,,,kumana
refugee,23,,,tigrinya
refugee,22,,,kumana
refugee,36,,,kumana
refugee,40,,,tigrinya
refugee,34,,,kumana
refugee,22,,,kumana
refugee,27,,,tigrinya
refugee,49,,,kumana
refugee,26,,,tigrinya
refugee,29,,,tigrinya
refugee,45,,,tigrinya
refugee,48,,,tigrinya
refugee,20,,,tigrinya
refugee,21,,,tigrinya
refugee,37,,,tigrinya
refugee,21,,,tigrinya
refugee,35,,,tigrinya
refugee,65,,,tigrinya
refugee,23,,,tigrinya
refugee,30,,,kumana
refugee,26,,,kumana
refugee,18,,,kumana
refugee,30,,,kumana
refugee,34,,,kumana
