"start","end","General:Settlement","General:Name_host_community","General:Location:Latitude","General:Location:Longitude","General:Location:Altitude","General:Location:Accuracy","General:gender","Energy:access_electricity","Energy:access_by","Energy:hours_morning","Energy:hours_night","Energy:electrical_appliances","Energy:hours_light_bulb","Energy:hours_mobile","Energy:hours_music_player","Energy:hours_TV_DVD","Energy:hours_LAPTOP","Energy:hours_FRIDGE","Energy:hours_e_stove","Energy:hours_other_equip","Energy:money_electricity","Energy:cost_solar_panel","meta:instanceID"
"2019-11-18 11:23:27.766","2019-11-18 18:55:37.421","refugee_camp",,"27.4940329489","-7.8208336356","469.1363220215","4.9000000000","male","yes","electrical_gri","12","12","mobile_phone",,"1",,,,,,,,,"uuid:a911b01e-4335-42e8-9c21-1f5145330be3"
"2019-11-18 10:26:39.094","2019-11-18 18:58:47.932","refugee_camp",,"27.4940382250","-7.8239374476","460.2650756836","4.9000000000","male","yes","electrical_gri","12","12","light_bulbs mobile_phone others","9","4",,,,,,"6",,,"uuid:a645150e-2526-4788-9978-80d687585c5f"
"2019-11-20 10:46:28.886","2019-11-20 14:35:20.331","refugee_camp",,"27.4939195320","-7.8239999478","470.7865936374","4.9000000000","male","yes","electrical_gri","12","12","lantern light_bulbs mobile_phone fridge others","13","4",,,,"24",,"4","600",,"uuid:666d420f-53c0-4870-a337-8cea86fa2573"
"2019-11-20 11:03:29.282","2019-11-20 14:41:44.615","refugee_camp",,"27.4937085705","-7.8237991415","453.0586853027","4.9000000000","male","yes","electrical_gri","12","12","lantern mobile_phone radio_music_pl others",,"4","10",,,,,"9","2000",,"uuid:68cd3ea8-7e23-4b1a-97de-cb76c1b5a857"
"2019-11-20 11:13:29.489","2019-11-20 14:42:58.677","refugee_camp",,"27.4936398938","-7.8237245031","436.0924987793","4.9000000000","male","yes","electrical_gri","12","12","light_bulbs mobile_phone others","12","2",,,,,,"12","1000",,"uuid:fb063e96-bb41-4554-a1a5-f256406fe79c"
"2019-11-20 11:28:07.445","2019-11-20 14:43:59.242","refugee_camp",,"27.4935741745","-7.8224016313","500.6113281250","4.9000000000","male","yes","electrical_gri","12","12","light_bulbs mobile_phone tv_dvd others","8","1",,"8",,,,"1","1000",,"uuid:f90c14b9-0edf-43bf-b808-c5c5f1bfb50c"
"2019-11-20 11:21:39.803","2019-11-20 11:25:23.73","refugee_camp",,"27.4938435759","-7.8228048251","442.8621357126","12.0000000000","male","yes","electrical_gri","12","12","light_bulbs mobile_phone others","4","1",,,,,,"24","2000",,"uuid:42d6d2d6-858d-4e21-8f44-5d2650de4f01"
"2019-11-20 11:32:24.671","2019-11-20 11:34:34.616","refugee_camp",,"27.4937328880","-7.8221864576","456.4571654252","16.0000000000","male","yes","electrical_gri","12","12","light_bulbs mobile_phone tv_dvd","8","1",,"8",,,,,"1000",,"uuid:782922d2-ca67-4914-81c7-5785003882ff"
"2019-11-20 11:40:39.058","2019-11-20 11:43:39.205","refugee_camp",,"27.4932087434","-7.8226102100","456.6647269116","6.0000000000","male","yes","electrical_gri","12","12","light_bulbs others","9",,,,,,,"24","2000",,"uuid:078bdee7-a94b-4129-b7ee-aa5fdde64658"
"2019-11-20 11:52:57.394","2019-11-20 11:56:18.911","refugee_camp",,"27.4937124747","-7.8247361577","461.9779506688","12.0000000000","male","yes","electrical_gri","12","12","light_bulbs mobile_phone fridge electrical_sto","10","1",,,,"12","10",,"3000",,"uuid:d96db913-dae6-4a4d-badd-9512828d6076"
"2019-11-20 11:48:28.85","2019-11-20 14:44:42.377","refugee_camp",,"27.4931817758","-7.8247309289","468.0444030762","4.9000000000","male","yes","electrical_gri","12","12","lantern light_bulbs mobile_phone tv_dvd laptop_tablet_ others","6","4",,"2","2",,,"12","1000",,"uuid:911a2c86-5c28-45af-ba00-034a75cf2dc9"
"2019-11-20 11:59:27.659","2019-11-20 14:45:20.638","refugee_camp",,"27.4940410023","-7.8243927869","442.6988220215","4.9000000000","male","yes","electrical_gri","12","12","lantern light_bulbs mobile_phone tv_dvd laptop_tablet_ fridge others","10","1",,"12","10","24",,"8","2000",,"uuid:fa55027e-be1f-459a-810b-a22c2eee3d33"
"2020-03-26 12:11:03.687","2020-03-26 12:21:19.7","refugee_camp",,"40.3870504781","-3.6987564344","743.4898071289","4.9000000000","male","yes","electrical_gri","7","4","lantern light_bulbs radio_music_pl mobile_phone tv_dvd laptop_tablet_ fridge electrical_sto others","7","8","0","2","0","12","5","6","40",,"uuid:b11ef29a-00d0-419e-9195-01c46704db1a"
"2020-03-26 12:21:29.412","2020-03-26 12:22:33.761","host_community","Community_A","40.3869093514","-3.6985298062","649.5405273438","4.9000000000","female","yes","electrical_gri","7","6","laptop_tablet_ radio_music_pl mobile_phone tv_dvd",,"4",,,"0",,,,,,"uuid:e72abfc7-eb53-496a-8f52-ae026365eeef"
"2020-03-26 12:22:41.881","2020-03-26 12:23:07.527","host_community","Community_A",,,,,"male","yes","diesel_genset",,"6","",,,,,,,,,,,"uuid:fff8dd9e-f283-42c5-a77d-bd8ac967dd0a"
"2020-03-26 12:23:14.543","2020-03-26 12:24:07.08","refugee_camp",,"40.3867849923","-3.6985025415","649.7126464844","4.9000000000","female",,,,,"",,,,,,,,,,,"uuid:5cd0e3bf-7f12-4d14-8c2d-755d0986af63"
"2020-03-27 12:45:09.557","2020-03-27 12:59:14.943","refugee_camp",,"40.2813379900","-3.8071168000","729.0000000000","7.0000000000","female","yes","diesel_genset","3","3","lantern light_bulbs mobile_phone radio_music_pl tv_dvd laptop_tablet_ fridge electrical_sto others","5","8","1","1","1","12","2","2","1000",,"uuid:5e8a0780-4002-4460-8def-b8668371161a"
"2020-03-27 12:59:26.617","2020-03-27 13:04:15.957","host_community","Community_A","40.2811791100","-3.8072096100","748.0000000000","5.0000000000","male","yes","solar_panel",,,"lantern light_bulbs mobile_phone","2","5",,,,,,,"1000",,"uuid:9188a906-197c-46ca-9167-2c46a0d12b1e"
"2020-03-27 13:04:29.395","2020-03-27 13:05:25.27","host_community","Community_A",,,,,"male","yes","diesel_genset",,,"",,,,,,,,,"1000",,"uuid:7fa36fee-8f62-4714-990d-c585ed32310d"
"2020-03-27 13:05:47.466","2020-03-27 13:06:16.81","host_community","Community_A",,,,,"female",,,,,"",,,,,,,,,,,"uuid:caf818f6-06c5-466a-8097-a07695123dd9"
"2020-03-27 13:06:36.613","2020-03-27 13:07:20.832","refugee_camp",,,,,,"male","yes","other",,,"electrical_sto",,,,,,,"2",,,,"uuid:4b5c8292-eb0f-42d0-816a-822ac3daeca1"
