"start","end","Type_of_setlement","Type_of_Host_Community","Record_your_current_location:Latitude","Record_your_current_location:Longitude","Record_your_current_location:Altitude","Record_your_current_location:Accuracy","Item","Property","Drainage","Irrigation","Irrigation_details:Water_pump","Irrigation_details:Available","Irrigation_details:Type_of_water_pump","Irrigation_details:Power","Fertilizer","meta:instanceID"
"2019-11-16 12:32:36.147","2019-11-18 23:41:05.842","refugee_camp",,"27.4957403464","-7.8238219655","521.6904296875","4.9000000000","farmyard","private__insid","no",,,,,,,"uuid:2d9aff6b-ba62-4d2d-926f-ac21e8e5d1e7"
"2019-11-21 12:52:59.843","2019-11-21 12:53:32.057","refugee_camp",,"27.4888021044","-7.8283515067","457.5562633137","6.0000000000","farmyard","public","no",,,,,,,"uuid:ee881861-af08-45c8-a8da-b91633635a75"
"2019-11-21 18:24:42.63","2019-11-21 18:25:01.474","refugee_camp",,"27.4874682456","-7.8302063285","452.8422184565","4.0000000000","farmyard","public","no",,,,,,,"uuid:0ed2e308-2fb2-4978-bc3a-b71d1dde8e1f"
"2019-11-26 10:24:55.365","2019-11-26 10:25:23.268","refugee_camp",,"27.4955281628","-7.8230893954","462.8613167799","8.0000000000","farmyard","private__insid","no",,,,,,,"uuid:79301090-ed4b-4b91-9131-0880cb6741d8"
"2019-11-11 09:08:48.96","2019-11-11 09:09:49.417","refugee_camp",,"27.4977486400","-7.8285849200","463.2865600586","3.2160000000","crop_area","public",,"yes","yes","yes","other",,,"uuid:44c0dde7-1ffb-4f24-873a-a313c791a693"
"2019-11-11 10:21:54.813","2019-11-11 10:22:23.522","refugee_camp",,"27.4996109600","-7.8246111800","468.4093017578","4.2880000000","farmyard","public","no",,,,,,,"uuid:86644a0c-5c75-4393-923a-5cfd6350e254"
"2019-12-02 18:24:43.885","2019-12-02 18:25:24.463","refugee_camp",,"27.4862459018","-7.8239242989","457.1459558470","4.0000000000","crop_area","private__insid",,"no",,,,,"no","uuid:fc3d784e-5195-4498-9967-dbd2658a774f"
"2019-11-27 11:16:46.185","2019-11-27 13:29:59.869","refugee_camp",,"27.4973842239","-7.8332103010","466.9424438477","4.7000000000","farmyard","private__insid","no",,,,,,,"uuid:3c3be5b9-5395-46e0-8127-c1895e110e8c"
"2019-11-27 11:17:35.142","2019-11-27 11:17:53.068","refugee_camp",,"27.4977433681","-7.8331824127","461.8980407715","4.9000000000","farmyard","private__insid","no",,,,,,,"uuid:f5533729-2e9f-44b3-8516-7c91bc3f8472"
"2019-11-27 12:39:20.222","2019-11-27 12:39:49.054","refugee_camp",,"27.4947201352","-7.8284177678","455.6057434082","4.7000000000","crop_area","public",,"no",,,,,"yes","uuid:edb53430-bd20-473d-be14-114b390e62de"
"2019-11-27 18:05:26.871","2019-11-27 18:06:24.475","refugee_camp",,"27.4911891215","-7.8255245828","451.0515136719","4.7000000000","farmyard","private__insid","no",,,,,,,"uuid:5d9f7ba3-be7b-46f9-9aa9-55af17638da8"
"2020-03-24 11:15:49.114","2020-03-24 11:19:26.549","refugee_camp",,"40.3868185000","-3.6991246000","0E-10","18.4320000000","farmyard","public","yes",,,,,,,"uuid:1ca96f31-3329-4153-90c8-957ec16115f3"
"2020-03-24 11:19:30.504","2020-03-24 11:19:38.075","refugee_camp",,,,,,,,,,,,,,,"uuid:82cf2f7a-2a89-489e-b975-d0f1d5c416da"
"2020-03-24 11:19:43.012","2020-03-24 11:39:16.244","host_community","hostcommunityA",,,,,"crop_area","private__insid",,"yes","yes","yes","diesel","2000","yes","uuid:fbd2741b-e8da-449a-920b-b053a2808e7f"
"2020-03-24 11:39:19.982","2020-03-24 11:39:55.087","host_community","hostcommunityA",,,,,"crop_area","private__insid",,,,,,,,"uuid:04e97535-11f9-4553-84cc-2ce0456a9824"
"2020-03-24 11:39:59.067","2020-03-24 11:40:24.802","host_community","hostcommunityA",,,,,"crop_area","private__insid",,"yes","yes",,,,,"uuid:9a8e04a8-34d2-4063-abf8-0de5d3e15e2d"
"2020-03-26 17:26:41.614","2020-03-26 17:31:41.859","refugee_camp",,,,,,"farmyard","private__insid","yes",,,,,,,"uuid:7948d65d-ae11-4fbd-a2a8-f9092fcc22f1"
"2020-03-26 17:32:50.968","2020-03-26 17:36:39.122","host_community","hostcommunityA",,,,,"crop_area","public",,"yes","yes","no","diesel","2000","yes","uuid:529ae165-c0a1-473b-afea-2d0fecdf70f4"
"2020-03-26 17:36:53.532","2020-03-26 17:37:32.749","host_community","hostcommunityA",,,,,"crop_area",,,,,,,,,"uuid:6d73c645-1e96-454f-9c56-5a98466af20f"
"2020-03-26 17:37:39.188","2020-03-26 17:38:28.852","refugee_camp",,,,,,,,,,,,,,,"uuid:9eddd6de-3f9c-4faa-a125-b5650dc4a16e"
"2020-03-26 17:39:33.856","2020-03-26 17:39:50.448","host_community","hostcommunityA",,,,,"farmyard",,,,,,,,,"uuid:7e9e1a94-be77-4b55-b377-3cb8e6262f2e"
"2020-03-26 17:40:15.018","2020-03-26 17:40:34.105","refugee_camp",,,,,,"crop_area","public",,"yes","yes",,,,,"uuid:24b14650-0527-47ee-afa5-2508f3e0dd11"
