Equipament_Picture,Equipament_Name,Power_002,Time_comsumption,PARENT_KEY,KEY,SET-OF-Comsumption_Equipament
"",Music,0.9,16_00_18_00 18_00_20_00 20_00_22_00 12_00_16_00,uuid:80d9c1da-cf4e-4db1-be8e-d7cdc928385b,uuid:80d9c1da-cf4e-4db1-be8e-d7cdc928385b/Comsumption_Equipament[1],uuid:80d9c1da-cf4e-4db1-be8e-d7cdc928385b/Comsumption_Equipament
media\1420221446578.jpg,2 fan,Check,10_00_12_00 8_00_10_00 18_00_20_00 20_00_22_00,uuid:d23853ae-640d-4afd-a348-efc8b3eae6d5,uuid:d23853ae-640d-4afd-a348-efc8b3eae6d5/Comsumption_Equipament[1],uuid:d23853ae-640d-4afd-a348-efc8b3eae6d5/Comsumption_Equipament
media\1420221487672.jpg,TV+DVD,108w+10w,8_00_10_00 10_00_12_00 18_00_20_00 20_00_22_00,uuid:d23853ae-640d-4afd-a348-efc8b3eae6d5,uuid:d23853ae-640d-4afd-a348-efc8b3eae6d5/Comsumption_Equipament[2],uuid:d23853ae-640d-4afd-a348-efc8b3eae6d5/Comsumption_Equipament
media\1420219229038.jpg,2 Fun,Check,8_00_10_00 10_00_12_00 12_00_16_00 16_00_18_00,uuid:dea75417-1af6-46ad-8523-dcf8e15ed0ef,uuid:dea75417-1af6-46ad-8523-dcf8e15ed0ef/Comsumption_Equipament[1],uuid:dea75417-1af6-46ad-8523-dcf8e15ed0ef/Comsumption_Equipament
media\1420219263736.jpg,Tv,Check,10_00_12_00 8_00_10_00 16_00_18_00 12_00_16_00 18_00_20_00,uuid:dea75417-1af6-46ad-8523-dcf8e15ed0ef,uuid:dea75417-1af6-46ad-8523-dcf8e15ed0ef/Comsumption_Equipament[2],uuid:dea75417-1af6-46ad-8523-dcf8e15ed0ef/Comsumption_Equipament
media\1420219367712.jpg,3 Dresshair,1,8_00_10_00 10_00_12_00 12_00_16_00 16_00_18_00,uuid:dea75417-1af6-46ad-8523-dcf8e15ed0ef,uuid:dea75417-1af6-46ad-8523-dcf8e15ed0ef/Comsumption_Equipament[3],uuid:dea75417-1af6-46ad-8523-dcf8e15ed0ef/Comsumption_Equipament
media\1540390402425.jpg,"","","",uuid:b978bbf4-3c4e-4391-a66f-ca6a95dbedc0,uuid:b978bbf4-3c4e-4391-a66f-ca6a95dbedc0/Comsumption_Equipament[1],uuid:b978bbf4-3c4e-4391-a66f-ca6a95dbedc0/Comsumption_Equipament
media\1420222194407.jpg,Fan,Check,6_00_8_00 8_00_10_00 10_00_12_00 12_00_16_00 16_00_18_00 18_00_20_00 20_00_22_00,uuid:31c9e3db-9c1b-4394-80dc-d1f76c0193b3,uuid:31c9e3db-9c1b-4394-80dc-d1f76c0193b3/Comsumption_Equipament[1],uuid:31c9e3db-9c1b-4394-80dc-d1f76c0193b3/Comsumption_Equipament
media\1420222242994.jpg,Music,1,20_00_22_00,uuid:31c9e3db-9c1b-4394-80dc-d1f76c0193b3,uuid:31c9e3db-9c1b-4394-80dc-d1f76c0193b3/Comsumption_Equipament[2],uuid:31c9e3db-9c1b-4394-80dc-d1f76c0193b3/Comsumption_Equipament
