Equipament_picture,Equipament_name,Power_004,Time_comsumption,PARENT_KEY,KEY,SET-OF-Comsumption_Equipament
"","","","",uuid:a1639033-f687-43e3-b605-d0a4853ccaf9,uuid:a1639033-f687-43e3-b605-d0a4853ccaf9/Comsumption_Equipament[1],uuid:a1639033-f687-43e3-b605-d0a4853ccaf9/Comsumption_Equipament
media\1540298831808.jpg,"","","",uuid:7c87e907-7926-44d2-93d4-d4eeb456be64,uuid:7c87e907-7926-44d2-93d4-d4eeb456be64/Comsumption_Equipament[1],uuid:7c87e907-7926-44d2-93d4-d4eeb456be64/Comsumption_Equipament
media\1540301593620.jpg,Fridge,220 kw h/24h,20_00_22_00 18_00_20_00,uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a,uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a/Comsumption_Equipament[1],uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a/Comsumption_Equipament
"",Fridge,We can check,18_00_20_00 20_00_22_00,uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a,uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a/Comsumption_Equipament[2],uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a/Comsumption_Equipament
"",Fridge,We can check,18_00_20_00 20_00_22_00,uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a,uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a/Comsumption_Equipament[3],uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a/Comsumption_Equipament
"",2 Fun,"We can check, verify photo",18_00_20_00 20_00_22_00,uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a,uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a/Comsumption_Equipament[4],uuid:5d92ca30-e9c8-4fd8-a999-640a277a139a/Comsumption_Equipament
media\1540300822213.jpg,Fan 1,"",10_00_12_00 18_00_20_00,uuid:465172b8-f03e-459d-a2c9-4223b88a3c53,uuid:465172b8-f03e-459d-a2c9-4223b88a3c53/Comsumption_Equipament[1],uuid:465172b8-f03e-459d-a2c9-4223b88a3c53/Comsumption_Equipament
media\1540300904659.jpg,Fridge,0.15,10_00_12_00 12_00_16_00 16_00_18_00 18_00_20_00,uuid:465172b8-f03e-459d-a2c9-4223b88a3c53,uuid:465172b8-f03e-459d-a2c9-4223b88a3c53/Comsumption_Equipament[2],uuid:465172b8-f03e-459d-a2c9-4223b88a3c53/Comsumption_Equipament
"",Fridge,0.13,6_00_8_00 8_00_10_00 10_00_12_00 12_00_16_00 18_00_20_00 16_00_18_00 20_00_22_00 22_00_00_00 00_00_6_00,uuid:30a1169c-6691-4af1-926c-81109699ecea,uuid:30a1169c-6691-4af1-926c-81109699ecea/Comsumption_Equipament[1],uuid:30a1169c-6691-4af1-926c-81109699ecea/Comsumption_Equipament
"",Fan,"","",uuid:30a1169c-6691-4af1-926c-81109699ecea,uuid:30a1169c-6691-4af1-926c-81109699ecea/Comsumption_Equipament[2],uuid:30a1169c-6691-4af1-926c-81109699ecea/Comsumption_Equipament
"",TV,"","",uuid:30a1169c-6691-4af1-926c-81109699ecea,uuid:30a1169c-6691-4af1-926c-81109699ecea/Comsumption_Equipament[3],uuid:30a1169c-6691-4af1-926c-81109699ecea/Comsumption_Equipament
media\1540364597810.jpg,"","","",uuid:25925da1-fac1-4d70-9e0f-c5b1157da215,uuid:25925da1-fac1-4d70-9e0f-c5b1157da215/Comsumption_Equipament[1],uuid:25925da1-fac1-4d70-9e0f-c5b1157da215/Comsumption_Equipament
